law,section,punishment,next_steps,keywords
Code of Criminal Procedure (CrPC),Section 391 - Appellate Court may take further evidence or direct it to be taken,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 391 appellate court take further evidence direct taken dealing appeal chapter thinks additional necessary record reasons either such itself magistrate when high
Code of Criminal Procedure (CrPC),Section 392 - Procedure where Judges of Court of appeal are equally divided,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 392 where judges court appeal equally divided when chapter heard high before bench opinion opinions laid another judge after such hearing thinks
Code of Criminal Procedure (CrPC),Section 393 - Finality of judgments and orders on appeal,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 393 finality judgments orders appeal passed appellate court upon final except case provided 377 378 sub 384 chapter xxx notwithstanding disposal against
Code of Criminal Procedure (CrPC),Section 394 - Abatement of appeals,Every appeal under section 377 or section 378 shall finally abate on the death of the accused.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 394 abatement appeals every appeal 377 378 finally abate death accused other chapter except sentence fine appellant provided where against conviction imprisonment
Code of Criminal Procedure (CrPC),Section 395 - Reference to High Court,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 395 reference high court where satisfied case pending before involves question validity ordinance regulation provision contained determination which necessary disposal opinion such
Code of Criminal Procedure (CrPC),Section 396 - Disposal of case according to decision of High Court,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 396 disposal case according decision high court when question been referred pass such order thereon thinks fit cause copy sent which reference
Code of Criminal Procedure (CrPC),Section 397 - Calling for records to exercise powers of revision,"Sentence or order, recorded or passed, and as to the regularity of any proceedings of such inferior Court, and may, when calling for such record, direct that the execution of any sentence or order be suspended, and if the accused is in confinement, that he be released on bail or on his own bond pending the examination of the record.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 397 calling records exercise powers revision high court sessions judge call examine record proceeding before inferior situate within local jurisdiction purpose satisfying
Code of Criminal Procedure (CrPC),Section 398 - Power to order inquiry,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 398 power order inquiry examining record 397 otherwise high court sessions judge direct chief judicial magistrate magistrates subordinate make further complaint which
Code of Criminal Procedure (CrPC),Section 399 - Sessions Judge's powers of revision,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 399 sessions judge powers revision case proceeding record which been called exercise exercised high court sub 401 where way commenced before provisions
Code of Criminal Procedure (CrPC),Section 4 - Trial of offences under the Indian Penal Code and other laws,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc trial offences indian penal other laws 1860 investigated inquired tried otherwise dealt according provisions hereinafter contained same but subject enactment lime being
Code of Criminal Procedure (CrPC),Section 40 - Duty of officers employed in connection with the affairs of a village to make certain report,"Every officer employed in connection with the affairs of a village and every person residing in a village shall forthwith communicate to the nearest Magistrate or to the officer in charge of the nearest police station, whichever is nearer, any information which he may possess respecting; the permanent or temporary residence of any notorious receiver or vendor of stolen property in or near such village; the resort to any place within, or the passage through, such village of any person whom he knows, or reasonably suspects, to be a thug, robber, escaped convict or proclaimed offender; the Commission of, or intention to commit, in or near such village any non-bailable offence or any offence punishable under section 143, section 144, section 145, section 147 or section 148 of the Indian Penal Code (45 of 1860); the occurrence in or near such village of any sudden or unnatural death or of any death under suspicious circumstances or the discovery in or near such village of any corpse or part of a corpse, in circumstances which lead to a reasonable suspicion that such a death has occurred or the disappearance from such village of any person in circumstances which lead to a reasonable suspicion that a non-bailable offence has been committed in respect of such person; the Commission of, or intention to commit, at any place out of India near such village any act which, if committed in India, would be an offence punishable under any of the following sections of the Indian Penal Code (45 of 1860), namely, sections 231 to 238 (both inclusive), sections 302, 304, 382, 392 to 399 (both inclusive), 402, 435, 436, 449, 457, to 460 (both inclusive), sections 489A, 489B, 489C and 489D; any matter likely to affect the maintenance of order of the prevention of crime or the safety of person or property respecting which the District Magistrate by general or special order made with the previous sanction of the State Government, has directed him to communicate information.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc duty officers employed connection affairs village make certain report every officer person residing forthwith communicate nearest magistrate charge police station whichever nearer
Code of Criminal Procedure (CrPC),Section 400 - Power of Additional Sessions Judge,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 400 power additional sessions judge exercise powers chapter respect case which transferred general special order
Code of Criminal Procedure (CrPC),Section 401 - High Court,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 401 high court case proceeding record which been called itself otherwise comes knowledge discretion exercise powers conferred appeal sections 386 389 390
Code of Criminal Procedure (CrPC),Section 402 - Power of High Court to withdraw or transfer revision cases,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 402 power high court withdraw transfer revision cases whenever one more persons convicted same trial makes make application other person sessions judge
Code of Criminal Procedure (CrPC),Section 403 - Option of Court to hear parties,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 403 option court hear parties save otherwise expressly provided party right heard either personally pleader before exercising powers revision but thinks fit
Code of Criminal Procedure (CrPC),Section 404 - Statement by Metropolitan Magistrate of grounds of his decision to be considered by High Court,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 404 statement metropolitan magistrate grounds decision considered high court when record trial held called session 397 submit setting forth order facts which
Code of Criminal Procedure (CrPC),Section 405 - High Court's order to be certified to lower Court,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 405 high court order certified lower when case revised chapter sessions judge manner provided 388 certify decision which finding sentence recorded passed
Code of Criminal Procedure (CrPC),Section 406 - Power of Supreme Court to transfer cases and appeals,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 406 power supreme court transfer cases appeals whenever made appear order expedient ends justice direct particular case appeal transferred one high another
Code of Criminal Procedure (CrPC),Section 407 - Power of High Court to transfer cases and appeals,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 407 power high court transfer cases appeals whenever made appear fair impartial inquiry trial cannot subordinate thereto some question unusual difficulty likely
Code of Criminal Procedure (CrPC),Section 408 - Power of Sessions Judge to transfer cases and appeals,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 408 power sessions judge transfer cases appeals whenever made appear order sub expedient ends justice particular case transferred one court another division
Code of Criminal Procedure (CrPC),Section 409 - Withdrawal of cases and appeals by Sessions Judges,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 409 withdrawal cases appeals sessions judges judge withdraw case appeal recall which made over assistant chief judicial magistrate subordinate time before trial
Code of Criminal Procedure (CrPC),Section 41 - When police may arrest without warrant,"Any police officer may without an order from a Magistrate and without a warrant, arrest any person; who has been concerned in any cognizable offence, or against whom a reasonable complaint has been made, or credible information has been received, or a reasonable suspicion exists, of his having been so concerned; or who has in his possession without lawful excuse, the burden of proving which excuse shall lie on such person, any implement of house-breaking; or who has been proclaimed as an offender either under this Code or by order of the State Government; or in whose possession anything is found which may reasonably be suspected to be stolen property and who may reasonably be suspected of having committed an offence with reference to such thing; or who obstructs a police officer while in the execution of his duty, or who has escaped, or attempts to escape, from lawful custody; or who is reasonable suspected of being a deserter from any of the Armed Forces of the Union; or who has been concerned in, or against whom a reasonable complaint has been made, or credible information has been received, or a reasonable suspicion exists, of his having been concerned in, any act committed at any place out of India which, if committed in India, would have been punishable as an offence, and for which he is, under any law relating to extradition, or otherwise, liable to be apprehended or detained in custody in India; or who, being a released convict, commits a breach of any rule made under Sub-Section (5) of section 356; or for whose arrest any requisition, whether written or oral, has been received from another police officer, provided that the requisition specifies the person to be arrested and the offence or other cause for which the arrest is to be made and it appears therefrom that the person might lawfully be arrested without a warrant by the officer who issued the requisition.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc when police arrest without warrant officer order magistrate person who been concerned cognizable offence against whom reasonable complaint made credible information received
Code of Criminal Procedure (CrPC),Section 410 - Withdrawal of cases by Judicial Magistrates,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 410 withdrawal cases judicial magistrates chief magistrate withdraw case recall which made over subordinate inquire try such refer inquiry trial other competent
Code of Criminal Procedure (CrPC),Section 411 - Making over or withdrawal of cases by Executive Magistrates,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 411 making over withdrawal cases executive magistrates district magistrate sub divisional make disposal proceeding which been started before subordinate withdraw case recall
Code of Criminal Procedure (CrPC),Section 412 - Reasons to be recorded,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 412 reasons recorded sessions judge magistrate making order 408 409 410 411 record
Code of Criminal Procedure (CrPC),Section 413 - Execution of order passed under section 368,"When in a case submitted to the High Court for the confirmation of a sentence of death, the Court of Session receives the order of confirmation or other order of the High Court thereon, it shall cause such order to be carried into effect by issuing a warrant or taking such other steps as may be necessary.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 413 execution order passed 368 when case submitted high court confirmation sentence death session receives other thereon cause such carried effect issuing
Code of Criminal Procedure (CrPC),Section 414 - Execution of sentence of death passed by High Court,"When a sentence of death is passed by the High Court in appeal or in revision, the Court of Session shall, on receiving the order of the High Court, cause the sentence to be carried into effect by issuing a warrant.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 414 execution sentence death passed high court when appeal revision session receiving order cause carried effect issuing warrant
Code of Criminal Procedure (CrPC),Section 415 - Postponement of execution of sentence of death in case of appeal to Supreme Court,"Where a person is sentenced to death by the High Court and an appeal from its judgment lies to the Supreme Court under sub-clause a) or sub-clause b) of clause (1) of Article 134 of the Constitution, the High Court shall order the execution of the sentence to be postponed until the period allowed for preferring such appeal has expired, or if an appeal is preferred within that period, until such appeal is disposed of.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 415 postponement execution sentence death case appeal supreme court where person sentenced high judgment lies sub clause 134 constitution order postponed until
Code of Criminal Procedure (CrPC),Section 416 - Postponement of capital sentence on pregnant woman,"If a woman sentenced to death is found to be pregnant, the High Court shall order the execution of the sentence to be postponed, and may, if it thinks fit, commute the sentence to imprisonment for life.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 416 postponement capital sentence pregnant woman sentenced death found high court order execution postponed thinks fit commute imprisonment life
Code of Criminal Procedure (CrPC),Section 417 - Power to appoint place of imprisonment,"Except when otherwise provided by any law for the time being in force, the State Government may direct in what place any person liable to be imprisoned or committed to custody under this Code shall be confined.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 417 power appoint place imprisonment except when otherwise provided time being force state government direct what person liable imprisoned committed custody confined
Code of Criminal Procedure (CrPC),Section 418 - Execution of sentence of imprisonment,"Where the accused is sentenced to imprisonment for life or to imprisonment for a term in cases other than those provided for by section 413, the Court passing the sentence shall forthwith forward a warrant to the jail or other place in which he is, or is to be, confined, and, unless the accused is already confined in such jail or other place, shall forward him to such jail or other place, with the warrant; Provided that where the accused is sentenced to imprisonment till the rising of the Court, it shall not be necessary to prepare or forward a warrant to a jail and the accused may be confined in such place as the Court may direct.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 418 execution sentence imprisonment where accused sentenced life term cases other than those provided 413 court passing forthwith forward warrant jail place
Code of Criminal Procedure (CrPC),Section 419 - Direction of warrant for execution,"Every warrant for the execution of a sentence of imprisonment shall be directed to the officer in charge of the jail or other place in which the prisoner is, or is to be, confined.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 419 direction warrant execution every sentence imprisonment directed officer charge jail other place which prisoner confined
Code of Criminal Procedure (CrPC),Section 42 - Arrest on refusal to give name and residence,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc arrest refusal give name residence when person who presence police officer committed been accused committing non cognizable offence refuses demand such gives
Code of Criminal Procedure (CrPC),Section 420 - Warrant with whom to be lodged,"When the prisoner is to be confined in a jail, the warrant shall be lodged with the Jailor.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 420 warrant whom lodged when prisoner confined jail jailor
Code of Criminal Procedure (CrPC),Section 421 - Warrant for levy of fine,"When an offender has been sentenced to pay a fine the Court passing the sentence may take action for the recovery of the fine in either or both of the following ways, that is to say, it may issue a warrant for the levy of the amount by attachment and sale of any moveable property belonging to the offender; issue a warrant to the collector of the district, authorising him to realise the amount as arrears of land revenue from the movable or immovable property, or both of the defaulter; Provided that, if the sentence directs that in default of payment of the fine, the offender shall be imprisoned, and if such offender has undergone the whole of such imprisonment in default, no Court shall issue such warrant unless, for special reasons to be recorded in writing, it considers it necessary so to do, or unless it has made an order for the payment of expenses or compensation out of the fine under section 357.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 421 warrant levy fine when offender been sentenced pay court passing sentence take action recovery either both following ways say issue amount
Code of Criminal Procedure (CrPC),Section 422 - Effect of such warrant,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 422 effect such warrant issued clause sub 421 court executed within local jurisdiction authorise attachment sale property outside when endorsed district magistrate
Code of Criminal Procedure (CrPC),Section 423 - Warrant for levy of fine issued by a Court in any territory to which this Code does not extend,"Notwithstanding anything contained in this Code or in any other law for the time being in force, when an offender has been sentenced to pay a fine by a criminal Court in any territory to which this Code does not extend and the Court passing the sentence issues a warrant to the Collector of a district in the territories to which this Code extends, authorising him to realise the amount as if it were an arrear of land revenue, such warrant shall be deemed to be a warrant issued under clause (b) of Sub-Section (1) of section 421 by a Court in the territories to which this Code extends, and the provisions of Sub-Section (3) of the said section as to the execution of such warrant shall apply accordingly.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 423 warrant levy fine issued court territory which does extend notwithstanding anything contained other time being force when offender been sentenced pay
Code of Criminal Procedure (CrPC),Section 424 - Suspension of execution of sentence of imprisonment,"When an offender has been sentenced to fine only and to imprisonment in default of payment of the fine and the fine is not paid forthwith, the Court may order that the fine shall be payable either in fully on or before a date not more than thirty days from the date of the order, or in two or three instalments, of which the first shall be payable on or before a date not more than thirty days from the date of the order and the other or others at an interval or at intervals, as the case may be, of not more than thirty days; suspend the execution of the sentence of imprisonment and release the offender, on the execution by the offender of a bond, with or without sureties, as the Court thinks fit, conditioned for his appearance before the Court on the date or dates on or before which payment of the fine or the instalment thereof, as the case may be, is to be made; and if the amount of the fine or of any instalment, as the case may be, is not realised on or before the latest date on which it is payable under the order, the Court may direct the sentence of imprisonment to be carried into execution at once.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 424 suspension execution sentence imprisonment when offender been sentenced fine only default payment paid forthwith court order payable either fully before date
Code of Criminal Procedure (CrPC),Section 425 - Who may issue warrant,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 425 who issue warrant every execution sentence issued either judge magistrate passed successor officer
Code of Criminal Procedure (CrPC),Section 426 - Sentence on escaped convict when to take effect,"When a sentence of death, imprisonment for life or fine is passed under this Code on an escaped convict, such sentence shall, subject to the provisions hereinbefore contained, take effect immediately.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 426 sentence escaped convict when take effect death imprisonment life fine passed such subject provisions hereinbefore contained immediately term severer kind than
Code of Criminal Procedure (CrPC),Section 427 - Sentence on offender already sentenced for another offence,"When a person already undergoing a sentence of imprisonment is sentenced on a subsequent conviction to imprisonment or imprisonment for life, such imprisonment or imprisonment for life shall commence at the expiration of the imprisonment to which he has been previously sentenced, unless the Court directs that the subsequent sentence shall run concurrently with such previous sentence; Provided that where a person who has been sentenced to imprisonment by an order under section 122 in default of furnishing security is, whilst undergoing such sentence, sentenced to imprisonment for an offence committed prior to the making of such order, the latter sentence shall commence immediately.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 427 sentence offender already sentenced another offence when person undergoing imprisonment subsequent conviction life such commence expiration which been previously unless court
Code of Criminal Procedure (CrPC),Section 428 - Period of detention undergone by the accused to be set off against the sentence of imprisonment,"Where an accused person has, on conviction, been sentenced to imprisonment for a term , not being imprisonment in default of payment of fine, the period of detention, if any, undergone by him during the investigation, inquiry or trial of the same case and before the date of such conviction shall be set off against the term of imprisonment imposed on him on such conviction, and the liability of such person to undergo imprisonment on such conviction shall be restricted to the remainder, if any, of the term of imprisonment imposed on him.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 428 period detention undergone accused set off against sentence imprisonment where person conviction been sentenced term being default payment fine during investigation
Code of Criminal Procedure (CrPC),Section 429 - Saving,Nothing in section 426 or section 427 shall be held to excuse any person from any part of the punishment to which he is liable upon his former or subsequent conviction.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 429 saving nothing 426 427 held excuse person part punishment which liable upon former subsequent conviction when award imprisonment default payment fine
Code of Criminal Procedure (CrPC),Section 43 - Arrest by private person and procedure on such arrest,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc arrest private person such cause arrested who presence commits non bailable cognizable offence proclaimed offender without unnecessary delay make over made police
Code of Criminal Procedure (CrPC),Section 430 - Return of warrant on execution of sentence,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 430 return warrant execution sentence when been fully executed officer executing court which issued endorsement hand certifying manner
Code of Criminal Procedure (CrPC),Section 431 - Money ordered to be paid recoverable as a fine,"Any money (other than a fine) payable by virtue of any order made under this Code, and the method of recovery of which is not otherwise expressly provided for, shall be recoverable as if it were a fine; Provided that section 421 shall, in its application to an order under section 359, by virtue of this section, be construed as if in the proviso to Sub-Section (1) of section 421, after the words and figures “under section 357”, the words and figures “or an order for payment of costs under section 359” had been inserted.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 431 money ordered paid recoverable fine other than payable virtue order made method recovery which otherwise expressly provided 421 application 359 construed
Code of Criminal Procedure (CrPC),Section 432 - Power to suspend or remit sentences,"When any person has been sentenced to punishment for an offence, the appropriate Government may, at any lime, without conditions or upon any conditions which the person sentenced accepts, suspend the execution of his sentence or remit the whole or any part of the punishment to which he has been sentenced.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 432 power suspend remit sentences when person been sentenced punishment offence appropriate government lime without conditions upon which accepts execution sentence whole
Code of Criminal Procedure (CrPC),Section 433 - Power to commute sentence,"The appropriate Government may, without the consent of the person sentenced commute a sentence of death, for any other punishment provided by the Indian Penal Code (45 of 1860); a sentence of imprisonment for life, for imprisonment for a term not exceeding fourteen years or for fine; a sentence of rigorous imprisonment for simple imprisonment for any term to which that person might have been sentenced, or for fine; a sentence of simple imprisonment, for fine.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 433 power commute sentence appropriate government without consent person sentenced death other punishment provided indian penal 1860 imprisonment life term exceeding fourteen
Code of Criminal Procedure (CrPC),Section 433A - Restriction on powers of remission or commutation in certain cases,"Notwithstanding anything contained in section 432, where a sentence of imprisonment for life is imposed on conviction of a person for an offence for which death is one of the punishment provided by laws or where a sentence of death imposed on a person has been commuted under section 433 into one of imprisonment for life, such person shall not be released from prison unless he had served at least fourteen years of imprisonment.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 433a restriction powers remission commutation certain cases notwithstanding anything contained 432 where sentence imprisonment life imposed conviction person offence which death one
Code of Criminal Procedure (CrPC),Section 434 - Concurrent power of Central Government in case of death sentences,"The powers conferred by sections 432 and 433 upon the State Government may, in the case of sentences of death, also be exercised by the Central Government.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 434 concurrent power central government case death sentences powers conferred sections 432 433 upon state also exercised
Code of Criminal Procedure (CrPC),Section 435 - State Government to act after consultation with Central Government in certain cases,"No order of suspension, remission or commutation of sentences passed by the State Government in relation to a person, who has been convicted of offences, some of which relate to matters to which the executive power of the Union extends, and who has been sentenced to separate terms of imprisonment which are to run concurrently, shall have effect unless an order for the suspension, remission or commutation, as the case may be, of such sentences has also been made by the Central Government in relation to the offences committed by such person with regard to matters to which the executive power of the Union extends.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 435 state government after consultation central certain cases powers conferred sections 432 433 upon remit commute sentence case where offence which investigated
Code of Criminal Procedure (CrPC),Section 436 - In what cases bail to be taken,"Notwithstanding anything contained in Sub-Section (1), where a person has failed to comply with the conditions of the bail-bond as regards the time and place of attendance, the Court may refuse to release him on bail, when on a subsequent occasion in the same case he appears before the Court or is brought in custody and any such refusal shall be without prejudice to the powers of the Court to call upon any person bound by such bond to pay the penalty thereof under section 446.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 436 what cases bail taken when person other than accused non bailable offence arrested detained without warrant officer charge police station appears
Code of Criminal Procedure (CrPC),Section 436A - Maximum period for which an under trial prisoner can be detained,"Where a person has, during the period of investigation, inquiry or trial under this Code of an offence under any law (not being an offence for which the punishment of death has been specified as one of the punishments under that law) undergone detention for a period extending up to one-half of the maximum period of imprisonment specified for that offence under that law, he shall be released by the Court on his personal bond with or without sureties; Provided that the Court may, after hearing the Public Prosecutor and for reasons to be recorded by it in writing, order the continued detention of such person for a period longer than one-half of the said period or release him on bail instead of the personal bond with or without sureties; Provided further that no such person shall in any case be detained during the period of investigation inquiry or trial for more than the maximum period of imprisonment provided for the said offence under that law.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 436a maximum period which trial prisoner can detained where person during investigation inquiry offence being punishment death been specified one punishments undergone
Code of Criminal Procedure (CrPC),Section 437 - When bail may be taken in case of non-bailable offence,"When any person accused of, or suspected of, the commission of any non-bailable offence is arrested or detained without warrant by an officer in charge of a police station or appears or is brought before a Court other than the High Court or Court of Session, he may be released on bail, but— such person shall not be so released if there appear reasonable grounds for believing that he has been guilty of an offence punishable with death or imprisonment for life; such person shall not be so released if such offence is a cognizable offence and he had been previously convicted of an offence punishable with death, imprisonment for life or imprisonment for seven years or more, or he had been previously convicted on two or more occasions of a cognizable offence punishable with imprisonment for three years or more but not less than seven years; Provided that the Court may direct that a person referred to in clause (i) or clause (ii) be released on bail if such person is under the age of sixteen years or is a woman or is sick or infirm; Provided further that the Court may also direct “that a person referred to in clause (ii) be released on bail if it is satisfied that it is just and proper so to do for any other special reason; Provided also that the mere fact that an accused person may be required for being identified by witnesses during investigation shall not be sufficient ground for refusing to grant bail if he is otherwise entitled to be released on bail and gives an undertaking that the shall comply with such directions as may be given by the Court.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 437 when bail taken case non bailable offence person accused suspected commission arrested detained without warrant officer charge police station appears brought
Code of Criminal Procedure (CrPC),Section 438 - Direction for grant of bail to person apprehending arrest,"Where any person has reason to believe that he may be arrested on accusation of having committed a non-bailable offence, he may apply to the High Court or the Court of Session for a direction under this section that in the event of such arrest he shall be released on bail; and that Court may, after taking into consideration, inter-alia, the following factors, namely— the nature and gravity of the accusation; the antecedents of the applicant including the fact as to whether he has previously undergone imprisonment on conviction by a Court in respect of any cognizable offence; the possibility of the applicant to flee from justice; and.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 438 direction grant bail person apprehending arrest where reason believe arrested accusation having committed non bailable offence apply high court session event
Code of Criminal Procedure (CrPC),Section 439 - Special powers of High Court or Court of Session regarding bail,"A High Court or Court of Session may direct— that any person accused of an offence and in custody be released on bail, and if the offence is of the nature specified in Sub-Section (3) of section 437, may impose any condition which it considers necessary for the purposes mentioned in that Sub-Section; that any condition imposed by a Magistrate when releasing any person on bail be set aside or modified; Provided that the High Court or the Court of Session shall, before granting bail to a person who is accused of an offence which is triable exclusively by the Court of Session or which, though not so triable, is punishable with imprisonment for life, give notice of the application for bail to the Public Prosecutor unless it is, for reasons to be recorded in writing, of opinion that it is not practicable to give such notice.",1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc 439 special powers high court session regarding bail direct person accused offence custody released nature specified sub 437 impose condition which considers
Code of Criminal Procedure (CrPC),Section 44 - Arrest by Magistrate,Punishment not explicitly available in imported source text.,1. Preserve evidence and incident details. 2. File FIR/complaint with police or cyber cell. 3. Consult lawyer and track case status.,criminal procedure crpc arrest magistrate when offence committed presence whether executive judicial within local jurisdiction order person offender thereupon subject provisions herein contained bail commit
